SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.1700, 14, -0.01274789, -1.00284398, -0.02607444, 1.35168421, -3.77820420, 4.59102964, -53.40543747, -14.61560917, -86.02747345, 0.09454423, -1.30608678, -3.89442158, 0.99935764, -0.00043725, 0.01141895, 0.03396707, 0.00551052, -0.01206984, 0.00307220, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1800, 15, -0.01188012, -1.01030266, -0.01825121, 1.33275032, -4.10404396, 4.51748371, -53.81467438, -13.79713535, -86.46594238, 0.10819188, -1.35182559, -3.93504572, 0.99934089, -0.00053852, 0.01182208, 0.03431946, 0.00395241, -0.00435962, 0.01043962, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1900, 16, -0.00420602, -1.01214623, -0.00769785, 1.54868364, -3.85045958, 4.65796471, -53.08389282, -15.72639561, -86.08593750, 0.22136384, -1.31868899, -3.97184610, 0.99933219, -0.00153170, 0.01156748, 0.03462937, -0.00415810, 0.00552850, 0.01224849, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2000, 17, -0.00060640, -1.00882113, 0.00240557, 1.76442754, -3.92663050, 4.89942694, -53.08389282, -15.72639561, -86.08593750, 0.23933156, -1.36813319, -4.01081467, 0.99931502, -0.00166934, 0.01200467, 0.03496631, -0.00760305, 0.01400794, 0.00882190, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2200, 22, 0.01087558, -0.90021700, -0.40851191, -2.27672839, -3.01446342, 0.10157892, -28.96813774, 27.94504547, -111.04940033, 3.23380971, 0.27211568, 3.82554960, 0.99904430, -0.02812153, -0.00331420, -0.03329765, -0.00009309, -0.03010397, -0.00998972, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2300, 23, -0.11096314, -0.99708754, 0.07548463, -0.02549636, -2.24561906, -0.06120009, -52.49926758, 6.54779291, -99.79537964, 0.32271537, 6.09878635, 2.78843832, 0.99828815, -0.00151706, -0.05324928, -0.02414699, 0.02767299, 0.01057316, 0.00855085, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2400, 24, -0.10482481, -0.99326986, 0.06756445, -0.37629816, -2.97983241, 0.29505759, -52.49926758, 6.54779291, -99.79537964, 0.32141691, 6.09777880, 2.75816703, 0.99829495, -0.00152002, -0.05323983, -0.02388391, 0.02245719, 0.00290092, 0.00319542, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2500, 25, -0.10251555, -0.99358708, 0.06650983, -0.34297347, -1.65938807, 0.94874239, -52.35311127, 5.87547493, -99.94153595, 0.36142009, 5.87700272, 2.74293518, 0.99839801, -0.00192197, -0.05132448, -0.02374110, 0.01912246, 0.00167807, 0.00290579, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 26, -0.10336692, -0.99681228, 0.06873379, -0.31785411, 0.32129219, 1.57484329, -51.94387436, 5.99239969, -99.53230286, 0.35802576, 5.86108255, 2.74448061, 0.99840480, -0.00189504, -0.05118509, -0.02375669, 0.01633675, 0.00320882, 0.00604694, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2100, 18, -0.00708004, -0.99684411, 0.00607245, 1.65873730, -3.27176023, 4.96071577, -53.34697342, -14.26483440, -85.79362488, 0.25622952, -1.41809893, -4.04323483, 0.99929965, -0.00179792, 0.01244607, 0.03524610, -0.00218866, 0.01717808, -0.00328532, 0.00000000, 0.00000000, 0.00000000, 0.00000000
