SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0600, 6, 0.06971250, -1.00224602, 0.01790728, 0.03475043, -0.08634788, 0.48307943, -42.67757797, 2.77696586, -109.55860901, -3.14424276, -5.16361666, 6.52570105, 0.99706048, 0.02480007, 0.04651578, -0.05560368, 0.00031105, -0.00038060, 0.00480505, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.07439257, -1.00156415, 0.02118271, 0.40896216, 0.09185493, 0.40029466, -42.61911774, 2.74773455, -109.90938568, -3.10880470, -5.09196377, 6.52336025, 0.99709624, 0.02452896, 0.04587471, -0.05561620, -0.00412845, 0.00275173, 0.00507989, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, 0.08864070, -0.99181628, -0.01851781, 0.20605066, -0.37239772, 0.21513700, -50.86231995, -15.81408882, -86.34902191, -1.16312623, 2.21633506, 12.94509220, 0.99336690, 0.01226346, -0.01807173, -0.11289525, -0.00841073, 0.00111270, -0.00439476, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0300, 3, -0.07528356, -0.99451768, -0.06153565, -0.37326360, -0.81741750, 0.16310386, -28.64659500, 17.91873741, -100.23384857, -0.13595454, -0.18775301, -0.36733854, 0.99999285, 0.00119167, 0.00163464, 0.00320756, 0.00264152, 0.00089961, -0.00075082, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0400, 4, -0.07421447, -0.99346614, -0.06090325, -0.14397331, -1.02446139, 0.10896629, -28.52966881, 18.26951218, -100.87693787, -0.12731877, -0.20110570, -0.37851897, 0.99999249, 0.00111685, 0.00175130, 0.00330514, 0.00156478, 0.00145311, -0.00191000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.07685451, -1.00017309, 0.02412424, 0.41008773, 0.05721999, 0.27792588, -42.61911774, 2.74773455, -109.90938568, -3.10470247, -5.09479141, 6.52322817, 0.99709606, 0.02449189, 0.04589729, -0.05561596, -0.00581776, 0.00531061, 0.00420347, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.07481912, -0.99871320, 0.02643924, 0.41542396, -0.34233564, 0.22861408, -42.20988083, 2.95235300, -109.14936829, -3.10080075, -5.09704638, 6.51913261, 0.99709803, 0.02445844, 0.04591414, -0.05558131, -0.00405603, 0.00765775, 0.00260886, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.06974347, -1.00271273, 0.02541894, 0.52702278, -0.68859690, 0.26694527, -42.29757309, 2.95235300, -109.44168091, -3.09602952, -5.09962749, 6.51141882, 0.99710184, 0.02441871, 0.04593264, -0.05551544, 0.00153743, 0.00627137, 0.00566631, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, 0.08543371, -0.99262249, -0.01221275, 0.22364685, -0.51045877, 0.21332052, -49.80999756, -17.04179955, -86.90441132, -1.16131127, 2.21410012, 12.93993855, 0.99337256, 0.01224471, -0.01805469, -0.11285013, -0.00426918, 0.00753557, -0.00368637, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.06810134, -1.00602520, 0.02024108, 0.21891609, -0.30974427, 0.07561670, -42.79450226, 3.04004669, -109.64630127, -3.09406209, -5.10034037, 6.50798607, 0.99710357, 0.02440260, 0.04593715, -0.05548617, 0.00359681, 0.00080384, 0.00829424, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.06928655, -1.00578928, 0.02082599, -0.28449130, -0.03738312, -0.17003669, -42.47296143, 2.89389062, -110.11399841, -3.05709481, -5.10494232, 6.50281715, 0.99711227, 0.02408069, 0.04595820, -0.05545484, 0.00238386, 0.00125742, 0.00828558, 0.00000000, 0.00000000, 0.00000000, 0.00000000
