SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.1200, 9, 0.16039631, -0.98670870, 0.07278832, -0.27235448, -1.88710308, 4.03245640, -44.34375763, 0.43846828, -102.28003693, 0.22304526, 1.18208790, 13.63573647, 0.99287629, -0.00070798, -0.01047357, -0.11868712, -0.02990790, -0.00980304, 0.00137268, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 10, 0.15398164, -0.99863869, 0.06967898, 0.31980467, -4.85164595, 4.10936689, -44.46068192, 0.81847411, -102.77696228, 0.21930724, 1.14508390, 13.58399487, 0.99293298, -0.00071852, -0.01014875, -0.11824013, -0.01872085, -0.01189255, 0.01227081, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0301, 3, 0.07112876, -0.99716681, -0.00125615, -0.89584780, 0.24850678, -1.59862518, -53.08389282, -15.52177715, -84.09821320, 0.74760002, -1.83911824, 47.18453217, 0.91623747, -0.01240086, 0.01209620, -0.40026110, 0.00190336, 0.00376707, -0.00041859, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 11, 0.14744490, -1.01119828, 0.06222512, 0.52529323, -5.54434538, 4.15156031, -44.46068192, 0.81847411, -102.77696228, 0.21669337, 1.10821986, 13.52512741, 0.99299669, -0.00073897, -0.00982625, -0.11773124, -0.01151075, -0.02025545, 0.02337864, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 12, 0.13987933, -1.00644255, 0.05974061, 0.16509652, -3.86282849, 3.92197895, -43.96375275, 0.73078048, -102.25080109, 0.21281508, 1.07227457, 13.48351097, 0.99304223, -0.00074575, -0.00951051, -0.11737186, -0.00519233, -0.02230727, 0.01760216, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1001, 10, 0.99513632, 0.10323475, 0.00445043, 1.22081816, -3.75379157, 6.06592274, -19.78953552, 76.05963135, -68.34259033, -0.02378154, -0.90160853, 2.83989620, 0.99966204, 0.00001249, 0.00787066, -0.02477783, -0.00210544, -0.00352573, 0.00050993, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1101, 11, 0.99997824, 0.09933396, -0.00148619, 1.22425365, -3.87685370, 6.29009962, -19.78953552, 76.05963135, -68.34259033, 0.01589594, -0.83860695, 2.83114338, 0.99966806, -0.00031946, 0.00731250, -0.02470422, -0.00534870, 0.00171914, 0.00496602, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1201, 12, 1.00655699, 0.09609468, -0.00264676, 0.20088160, -3.96580005, 6.33598995, -19.52645493, 76.29347992, -68.51797485, 0.05538306, -0.77516609, 2.83270693, 0.99967146, -0.00065035, 0.00675053, -0.02472021, -0.00805878, 0.00217596, 0.01121337, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0900, 9, 0.96785384, 0.23201834, 0.16288486, -5.01213884, 3.41163349, -8.09926224, -22.18649483, 72.84420013, -84.65361023, 0.09113107, 0.28865951, -4.78434801, 0.99912500, -0.00089971, -0.00248364, 0.04174103, -0.00905678, -0.01018040, 0.00841497, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1101, 4, 0.06784035, -0.99636745, -0.00026137, -1.30821550, 0.93466002, -2.05798864, -52.67465591, -15.75562668, -83.98129272, 0.78864676, -1.73984647, 47.21402359, 0.91614461, -0.01238534, 0.01115582, -0.40050113, 0.00678706, 0.00401468, -0.00162058, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1201, 5, 0.07362291, -0.99480826, -0.00456338, -1.41584527, 0.88468409, -2.09237266, -52.96696854, -16.72025681, -83.54282379, 0.77514386, -1.71890891, 47.22422791, 0.91611350, -0.01220523, 0.01103452, -0.40058139, 0.00124472, -0.00008858, -0.00249930, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1301, 6, 0.07820794, -0.99516469, -0.00276700, -1.38092494, 0.40096614, -2.06349349, -52.23618698, -16.45717621, -83.39666748, 0.76162940, -1.69826949, 47.22955704, 0.91609919, -0.01202558, 0.01091618, -0.40062270, -0.00291661, 0.00195565, -0.00170937, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1401, 7, 0.07313189, -0.99807209, -0.00291477, -1.31021953, 0.03870512, -2.08600211, -52.23618698, -16.45717621, -83.39666748, 0.75698525, -1.75288486, 47.23209000, 0.91608310, -0.01217956, 0.01136881, -0.40064251, 0.00246564, 0.00204811, 0.00064715, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1501, 8, 0.06728202, -0.99862379, -0.00059765, -1.32973492, -0.07578783, -2.36678147, -53.43466949, -15.17100239, -83.92282867, 0.74362510, -1.72923458, 47.23260880, 0.91608602, -0.01199015, 0.01122638, -0.40064535, 0.00774587, 0.00449988, 0.00055467, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1601, 9, 0.06365335, -0.99481010, 0.00371954, -1.50906396, -0.10711957, -2.43512797, -52.96696854, -15.58023930, -83.63051605, 0.72844225, -1.70490766, 47.23298645, 0.91608977, -0.01178379, 0.01108493, -0.40064692, 0.01136661, 0.00899907, -0.00371286, 0.00000000, 0.00000000, 0.00000000, 0.00000000
